"Last	files/NotreDame_De_Paris.txt : 1; 
"Lastly	files/NotreDame_De_Paris.txt : 1; 
"Lay	files/Miserables.txt : 1; 
"Le	files/Miserables.txt : 3; 
"Leave	files/Miserables.txt : 4; files/NotreDame_De_Paris.txt : 2; 
"Lecornu	files/NotreDame_De_Paris.txt : 1; 
"Les	files/Miserables.txt : 1; 
"Let	files/Miserables.txt : 60; files/NotreDame_De_Paris.txt : 15; 
"Like	files/Miserables.txt : 4; 
"Listen	files/Miserables.txt : 14; files/NotreDame_De_Paris.txt : 15; 
"Listolier	files/Miserables.txt : 1; 
"Little	files/Miserables.txt : 11; files/NotreDame_De_Paris.txt : 4; 
"Loaf	files/Miserables.txt : 1; 
"Long	files/Miserables.txt : 14; 
"Look	files/Miserables.txt : 12; files/NotreDame_De_Paris.txt : 9; 
"Lord	files/NotreDame_De_Paris.txt : 1; files/Miserables.txt : 1; 
"Louis	files/Miserables.txt : 2; 
"Love	files/Miserables.txt : 2; files/NotreDame_De_Paris.txt : 1; 
"Lovely	files/Miserables.txt : 3; 
"M	files/Miserables.txt : 16; 
"MARIUS"	files/Miserables.txt : 1; 
"MONSIEUR	files/Miserables.txt : 2; 
"MOVE	files/Miserables.txt : 1; 
"Mabeuf	files/Miserables.txt : 1; 
"Mad	files/NotreDame_De_Paris.txt : 1; 
"Madam	files/Miserables.txt : 1; 
"Madam"	files/NotreDame_De_Paris.txt : 1; 
"Madam	files/NotreDame_De_Paris.txt : 1; 
"Madame	files/NotreDame_De_Paris.txt : 1; files/Miserables.txt : 18; 
"Mademoiselle	files/Miserables.txt : 6; files/NotreDame_De_Paris.txt : 4; 
"Madness	files/NotreDame_De_Paris.txt : 1; 
"Magnificent	files/Miserables.txt : 1; 
"Mais	files/Miserables.txt : 1; 
"Make	files/Miserables.txt : 5; files/NotreDame_De_Paris.txt : 4; 
"Malediction	files/NotreDame_De_Paris.txt : 2; 
"Maledictions	files/NotreDame_De_Paris.txt : 1; 
"Mamma	files/Miserables.txt : 1; 
"Man	files/Miserables.txt : 1; 
"Many	files/NotreDame_De_Paris.txt : 1; 
